Date,ABIRLANUVO,ACC,ADANIENT,ADANIPORTS,ADANIPOWER,AJANTPHARM,ALBK,AMARAJABAT,AMBUJACEM,ANDHRABANK,APOLLOHOSP,APOLLOTYRE,ARVIND,ASHOKLEY,ASIANPAINT,AUROPHARMA,AXISBANK,BAJAJ-AUTO,BAJFINANCE,BANKBARODA,BANKINDIA,BATAINDIA,BEL,BEML,BHARATFORG,BHARTIARTL,BHEL,BIOCON,BOSCHLTD,BPCL,BRITANNIA,CADILAHC,CAIRN,CANBK,CASTROLIND,CEATLTD,CENTURYTEX,CESC,CIPLA,COALINDIA,COLPAL,CONCOR,CROMPGREAV,CUMMINSIND,DABUR,DHFL,DISHTV,DIVISLAB,DLF,DRREDDY,EICHERMOT,ENGINERSIN,EXIDEIND,FEDERALBNK,GAIL,GLENMARK,GMRINFRA,GODREJCP,GODREJIND,GRANULES,GRASIM,HAVELLS,HCLTECH,HDFC,HDFCBANK,HDIL,HEROMOTOCO,HEXAWARE,HINDALCO,HINDPETRO,HINDUNILVR,HINDZINC,IBREALEST,IBULHSGFIN,ICICIBANK,ICIL,IDBI,IDEA,IDFC,IFCI,IGL,INDIACEM,INDUSINDBK,INFRATEL,INFY,IOC,IRB,ITC,JETAIRWAYS,JINDALSTEL,JISLJALEQS,JPASSOCIAT,JSWENERGY,JSWSTEEL,JUBLFOOD,JUSTDIAL,KOTAKBANK,KPIT,KSCL,KTKBANK,L&TFH,LICHSGFIN,LT,LUPIN,M&M,M&MFIN,MARICO,MARUTI,MCDOWELL-N,MCLEODRUSS,MINDTREE,MOTHERSUMI,MRF,NCC,NHPC,NMDC,NTPC,OFSS,OIL,ONGC,ORIENTBANK,PAGEIND,PCJEWELLER,PETRONET,PFC,PIDILITIND,PNB,POWERGRID,PTC,RCOM,RECLTD,RELCAPITAL,RELIANCE,RELINFRA,RPOWER,SAIL,SBIN,SIEMENS,SKSMICRO,SOUTHBANK,SRF,SRTRANSFIN,STAR,SUNPHARMA,SUNTV,SYNDIBANK,TATACHEM,TATACOMM,TATAELXSI,TATAGLOBAL,TATAMOTORS,TATAMTRDVR,TATAPOWER,TATASTEEL,TCS,TECHM,TITAN,TORNTPHARM,TV18BRDCST,TVSMOTOR,UBL,ULTRACEMCO,UNIONBANK,UNITECH,UPL,VEDL,VOLTAS,WIPRO,WOCKPHARMA,YESBANK,ZEEL
2010-01-04,916.3,915.15,0,0,0,0,128.65,0,106.35,106.3,0,0,0,26.3,180,184.23,199.05,869.3,0,102.81,393.5,0,0,0,277.3,326.1,485.54,280.75,4798.2,326.475,0,0,286.1,398.75,0,0,551.25,399.9,338.9,0,689.75,0,217.25,0,81.125,0,44,674.55,365.3,1145.95,0,0,0,23.72,416.5,0,67.25,0,0,0,2556.9,0,185.8,535.47,341.87,363.15,0,0,163.8,401.6,264.95,121.395,226.1,0,175.84,0,130,58.25,155.65,57.6,0,126.3,0,0,0,315.1,0,127.025,0,714.2,0,154.5,0,1025.9,0,0,205.625,0,0,0,0,164.74,1130.866667,293.1,565.85,0,0,1555.85,0,0,0,0,0,0,0,0,232.55,2383.75,0,298,260.2,0,0,73.3,257.2,0,185.18,112,116.8,175.85,247.6,892.4,1079.35,1173.4,156.7,247.4,228.85,582.2,0,0,0,0,0,151.44,348.9,96.35,324.3,340.85,0,0,162.91,0,139.19,635.35,753.9,257.325,71.185,0,0,0,0,965.5,266.6,83.2,0,0,176.85,416.94,0,269.75,126.9
2010-01-05,922.2,901.95,0,0,0,0,132.8,0,105.65,108.65,0,0,0,25.9,179.605,183.01,202.62,871.575,0,104.99,394.45,0,0,0,283.6,331.25,487.49,279.85,4729.85,321.825,0,0,296.15,404.75,0,0,550.8,426,332.95,0,688.35,0,217.425,0,82.7,0,44.2,672.35,370.35,1176.7,0,0,0,24.05,418.7,0,69.45,0,0,0,2628.3,0,190.15,536.4,341.95,370.2,0,0,175.3,401.5,263.85,124.79,222.35,0,177.25,0,134.3,60.4,162.35,58.2,0,127.35,0,0,0,315.95,0,128.15,0,729.15,0,163.45,0,1134.95,0,0,207.2875,0,0,0,0,163.59,1132.4,289.19,574.45,0,0,1520.85,0,0,0,0,0,0,0,0,230.25,2365.6,0,303.1625,262.75,0,0,74.9,261.25,0,188.04,112.4,118.3,182.1,248.9,888.2,1070.75,1192.8,161.1,253.4,228.75,585.3,0,0,0,0,0,155.57,349.65,96,328.9,360.7,0,0,161.06,0,141.405,648.6,752.05,259.8375,72.8275,0,0,0,0,984.85,271.9,84.35,0,0,175.8,423.18,0,273.05,128.025
2010-01-06,946.65,908.9,0,0,0,0,134.9,0,106.4,109.9,0,0,0,25.975,179.315,181.81,199.75,859.7,0,105.85,397.25,0,0,0,289.25,327.45,485.35,292.25,4640.35,317.1,0,0,298.4,407.9,0,0,552.1,433.7,346.55,0,692.3,0,219.3,0,84.05,0,44.2,692.25,380.2,1210.3,0,0,0,24.485,416.75,0,69.4,0,0,0,2736.75,0,184.45,537.88,342.72,372.15,0,0,171.45,390.65,265,123.235,223.85,0,179.3,0,135.75,61.3,165.1,57.7,0,127.65,0,0,0,315.6,0,128.45,0,725.15,0,161.05,0,1143.2,0,0,210.725,0,0,0,0,163.17,1120.833333,295.36,586.7,0,0,1467.05,0,0,0,0,0,0,0,0,229.2,2357.85,0,306.175,267.75,0,0,76.7,260.55,0,186.83,112.8,120.2,182.05,243.75,897.15,1092.5,1168,159.35,248.85,230.4,590.85,0,0,0,0,0,157.455,349.25,97.7,327.9,356.8,0,0,160.76,0,147.09,641.6,736.8,260.9625,74.0625,0,0,0,0,988.9,271.2,85.25,0,0,179.75,415.89,0,269.6,130.8
2010-01-07,966.95,913.1,0,0,0,0,133.35,0,106.1,109.25,0,0,0,26.475,177.47,178.24,200.48,844.15,0,106.14,394.2,0,0,0,284.25,329,482.35,291.7,4719.2,310.95,0,0,307.15,410.5,0,0,574.8,430.75,342.75,0,694.45,0,212.425,0,82.35,0,43.3,712.1,375,1189.4,0,0,0,24.64,427.9,0,69.3,0,0,0,2674.7,0,180.8,530.52,342.73,370.3,0,0,174.8,390.15,265.25,128.915,220.65,0,177.36,0,133.3,60.85,164.75,59.2,0,128.2,0,0,0,310.95,0,128.075,0,722.9,0,159.1,0,1125.25,0,0,213.2375,0,0,0,0,166.24,1115.666667,289.45,576.25,0,0,1455.7,0,0,0,0,0,0,0,0,228.8,2330.95,0,306.95,266.25,0,0,76.55,260.2,0,185.16,113.8,123.2,184.1,242.25,886.1,1106.55,1169.35,160.15,242.45,228.395,612.75,0,0,0,0,0,154.99,348.65,96.65,321.5,353.75,0,0,156.16,0,147.73,648.5,716.4,255.3875,75.62,0,0,0,0,981.3,268.6,84.35,0,0,185,407.91,0,265.1,130.575
2010-01-08,940.95,910.75,0,0,0,0,132.05,0,106.1,108.6,0,0,0,26.775,180.1,179.98,202.94,830.425,0,106.46,391.1,0,0,0,282.85,324.9,484.71,290.65,5067.35,316.1,0,0,306,403.6,0,0,561.05,422.85,342.5,0,687.15,0,209.275,0,82.9,0,42.4,695.25,390.85,1196.15,0,0,0,24.865,429.2,0,69.3,0,0,0,2748.05,0,176.425,521.28,342.92,378.05,0,0,173.2,395.25,265.95,126.19,227.85,0,175.06,0,131.9,60.5,163.7,57.7,0,128.35,0,0,0,316.2,0,128.525,0,712.9,0,162.25,0,1118.15,0,0,210.8375,0,0,0,0,167.71,1122.2,289.3,575.9,0,0,1439.15,0,0,0,0,0,0,0,0,231.5,2334,0,305.075,260.85,0,0,77.45,259.1,0,185.3,114.15,120.9,181.3,241.55,907,1105.35,1167.75,160.45,239.65,227.915,626.45,0,0,0,0,0,158.055,361.3,96.2,315.5,363.75,0,0,156.88,0,147.555,648.85,702.2,262.75,74.93,0,0,0,0,989.45,270.45,86.85,0,0,181.5,401.82,0,263.8,128.575
2010-01-11,940.9,916.95,0,0,0,0,133,0,106.45,108.95,0,0,0,26.55,181.12,178.84,209.46,837.525,0,108.94,394.25,0,0,0,285,328.25,480.57,291.9,5051.2,315.25,0,0,301.1,406.4,0,0,560.85,422.2,343.25,0,692.7,0,207.6,0,83.475,0,42.15,691.9,400.95,1204.8,0,0,0,25.41,432.9,0,69.65,0,0,0,2809.1,0,177.9,520.99,342.76,379.75,0,0,172.25,391.8,266.2,128.18,235.25,0,174.24,0,134.9,61.85,163.4,56.4,0,128.25,0,0,0,318.95,0,128.325,0,716.35,0,166.05,0,1142.4,0,0,212.0125,0,0,0,0,167.67,1119.733333,283.87,576.05,0,0,1461,0,0,0,0,0,0,0,0,233.5,2306.4,0,304.4375,259.15,0,0,80.15,268.8,0,190.79,114.75,117.45,182.55,253.9,906.3,1086,1165.75,162.15,242.95,226.86,639.15,0,0,0,0,0,157.87,372.4,95.45,317.95,362.05,0,0,156.52,0,148.28,649.05,714.35,260.175,74.5625,0,0,0,0,995.95,269.9,90.7,0,0,179.25,398.76,0,268.85,134.35
2010-01-12,921.3,896,0,0,0,0,132.7,0,103.65,107.1,0,0,0,26.5,185.17,176.48,209.59,852.125,0,107.09,385.75,0,0,0,282.75,322.85,471.98,289.05,4980,314.6,0,0,298,399.75,0,0,542.7,422.9,340.2,0,682.85,0,216.275,0,81.45,0,44.55,686.35,384.4,1211.55,0,0,0,24.775,426.3,0,67.3,0,0,0,2789.8,0,183.425,512.63,339.44,365.05,0,0,168.15,383.8,262.45,129.57,224.85,0,168.55,0,133.9,58.6,160.75,54.15,0,124.55,0,0,0,317.9,0,125.425,0,709.25,0,161.7,0,1125.5,0,0,206.1,0,0,0,0,165,1119.933333,281.63,590.15,0,0,1442.95,0,0,0,0,0,0,0,0,229.95,2354.6,0,298.9625,257.05,0,0,77.15,271.6,0,185.91,113.25,116.1,176.05,253.4,885.6,1082.9,1135.85,157.1,234.5,220.44,621.9,0,0,0,0,0,157.115,369.15,92.4,308.5,372.15,0,0,155.77,0,148.515,626.6,748.05,262.1625,74.045,0,0,0,0,984.75,266.55,88.6,0,0,178.4,416.67,0,263.3,135.15
2010-01-13,941.2,948.9,0,0,0,0,133.05,0,108.5,106.35,0,0,0,27.325,186.86,174.95,208.32,854.475,0,107.34,390,0,0,0,285.95,318.4,467.1,300.05,4946.5,316.35,0,0,294.45,396.35,0,0,561.25,435.3,342.4,0,697.2,0,212.3,0,81.375,0,46.4,698.55,388.75,1230.5,0,0,0,24.67,426.55,0,66.65,0,0,0,2830.9,0,189.375,509.82,339.04,373.7,0,0,171.55,388.1,262.85,129.195,223.55,0,168.32,0,132.65,59.15,161,55.1,0,128.3,0,0,0,323.45,0,124.95,0,703.3,0,164.05,0,1144.15,0,0,203.6375,0,0,0,0,165.63,1119.566667,280.87,575.65,0,0,1430.05,0,0,0,0,0,0,0,0,230,2405.3,0,299.9875,258.95,0,0,81.2,271.7,0,184.74,114.9,122.05,176.25,256.25,913,1091.85,1144.05,158.3,242.2,218.14,634.6,0,0,0,0,0,155.29,369.9,93.35,312.85,370.05,0,0,156.56,0,149.28,640.8,786.3,272.85,73.805,0,0,0,0,1035.25,267.9,89.15,0,0,186.05,430.74,0,262.7,139.475
2010-01-14,945.45,953.25,0,0,0,0,133,0,107.75,107.5,0,0,0,28.125,189.085,180.94,213.01,854.9,0,107.83,385.5,0,0,0,299.05,318.95,475.5,299.8,4912.35,313.85,0,0,294.85,394.3,0,0,572.6,442.8,341.4,0,686.55,0,213.575,0,81.375,0,47.45,695.75,384.2,1240.15,0,0,0,25.515,430.65,0,68,0,0,0,2840.5,0,185.775,505.56,337.77,372.25,0,0,170.95,392.6,256.65,129.34,220.9,0,167.34,0,132.5,59.65,161.6,54.4,0,128.95,0,0,0,326.7,0,124.125,0,697.4,0,164.9,0,1185.5,0,0,206.4625,0,0,0,0,167.64,1113,279.22,582.225,0,0,1417.95,0,0,0,0,0,0,0,0,231.7,2482.25,0,307.875,257.35,0,0,82.45,283.4,0,185.17,117.45,120.35,183.7,271.05,892.7,1120.75,1127.45,160.15,241.05,216.22,656.75,0,0,0,0,0,155.95,365.8,92.6,314.75,367.1,0,0,155.62,0,145.875,646.85,781.5,271.1375,75.885,0,0,0,0,1043.25,262.8,88.4,0,0,185.15,444.3,0,268.55,140.575
2010-01-15,949.8,979.3,0,0,0,0,133.9,0,113.3,107.85,0,0,0,27.55,188.3,179.82,214.82,863.175,0,107.52,386.7,0,0,0,295.2,318.15,473.8,299.5,4978.25,310.025,0,0,298.5,386.75,0,0,588.7,442.65,350.7,0,688,0,210.95,0,80.75,0,50.5,692.3,387.55,1233.4,0,0,0,26.235,426,0,67.65,0,0,0,2846.95,0,185.1,505.24,338.94,380.7,0,0,167,387.7,257.15,130.765,218.8,0,168.62,0,133.35,59.2,159.6,54.35,0,131.7,0,0,0,325.3,0,126.225,0,681.5,0,164.7,0,1184.2,0,0,205.975,0,0,0,0,168.59,1102,285.16,577.55,0,0,1418.4,0,0,0,0,0,0,0,0,232.85,2469.5,0,303.5875,256.95,0,0,81.35,280.85,0,182.29,118.75,121,191.6,266.65,897.05,1109.75,1129.35,159.95,237.8,215.055,652.15,0,0,0,0,0,153.155,370.95,93.2,307.75,365.95,0,0,158.84,0,145.55,642.7,794.3,284.6125,75.7925,0,0,0,0,1039.8,264.55,88.95,0,0,185.4,441.15,0,267.65,138.05
